ID,feat1,feat2,feat3,rating
1,3,83,9935,0.63
2,10,88,1574,0.51
3,2,81,6742,0.62
4,1,91,9691,0.43
5,4,91,4657,0.24
6,9,58,3924,0.88
7,7,98,6866,0.99
8,10,92,1747,0.56
9,5,67,1488,0.53
10,6,53,9247,0.67
11,6,78,3644,0.58
12,6,98,4207,0.75
13,10,99,1780,0.56
14,10,80,2881,0.93
15,9,71,9305,0.54
16,2,52,8920,0.04
17,2,51,7860,0.21
18,3,68,4509,0.67
19,8,81,9839,0.37
20,3,93,4958,0.75
21,8,97,6742,0.86
22,7,66,6212,0.51
23,10,98,9314,0.25
24,8,50,5786,0.83
25,6,71,4172,0.56
26,1,73,5662,0.05
27,8,64,8578,0.29
28,10,62,1337,0.24
29,3,80,9952,0.56
30,7,70,2500,0.07
31,5,61,3480,0.41
32,3,65,9015,0.09
33,9,91,5711,0.05
34,7,94,3468,0.61
35,3,52,6175,0.61
36,5,66,5065,0.58
37,7,87,3644,0.34
38,3,69,1039,0.84
39,2,55,1637,0.50
40,10,96,1489,0.62
41,6,88,6318,0.77
42,3,75,5422,0.71
43,8,54,4578,0.63
44,9,63,1841,0.75
45,7,77,5823,0.92
46,5,71,5769,0.98
47,9,50,8082,0.95
48,8,77,1152,0.53
49,1,84,9641,0.23
50,8,79,3215,0.66
51,4,53,4110,0.59
52,6,86,6942,0.45
53,9,61,1707,0.61
54,4,75,1363,0.10
55,1,70,9500,0.28
56,7,64,3493,0.45
57,2,67,3692,0.75
58,5,89,1199,0.98
59,5,67,9835,0.03
60,5,61,7888,0.37
61,4,60,4005,0.37
62,6,96,6889,0.57
63,7,70,5037,0.59
64,8,76,6884,0.54
65,1,57,6733,0.28
66,6,93,1418,0.54
67,7,58,4576,0.50
68,4,99,5222,0.21
69,9,50,5920,0.97
70,3,97,1955,0.73
71,4,99,3986,0.33
72,4,74,7151,0.09
73,9,66,8188,0.10
74,7,71,1767,0.82
75,4,93,3162,0.91
76,9,85,5921,0.18
77,7,58,9198,0.85
78,6,97,2657,0.65
79,2,51,3595,0.43
80,3,64,1339,0.06
81,3,90,8526,0.65
82,8,94,3719,0.34
83,1,98,2136,0.19
84,9,82,9662,0.38
85,5,55,6801,0.86
86,8,69,3359,0.62
87,5,100,1613,0.56
88,1,76,9244,0.28
89,10,100,2094,0.65
90,10,62,7656,0.30
91,5,88,1878,0.42
92,4,65,2524,0.29
93,8,77,5913,0.00
94,2,89,7821,0.95
95,6,96,2289,0.50
96,2,97,6010,0.49
97,3,68,5523,0.15
98,8,77,1258,0.11
99,4,69,7509,0.59
100,2,55,3377,0.08
101,3,71,7269,0.40
102,8,86,1131,0.63
103,5,62,7431,0.07
