,pref,non_pref
0,7,9
1,7,9
2,7,9
3,7,9
4,7,9
5,7,9
6,7,9
7,7,9
8,7,9
9,7,9
10,7,9
11,7,9
12,7,9
13,7,9
14,7,9
15,7,9
16,7,9
17,7,9
18,7,9
19,7,9
20,7,9
21,7,9
22,7,9
23,7,9
24,7,9
25,7,9
26,7,9
27,7,9
28,7,9
29,7,9
30,7,9
31,7,9
32,7,9
33,7,9
34,7,9
35,7,9
36,7,9
37,7,9
38,7,9
39,7,9
40,7,9
41,7,9
42,7,9
43,7,9
44,7,9
45,7,9
46,7,9
47,7,9
48,7,9
49,7,9
50,7,9
51,7,9
52,7,9
53,7,9
54,7,9
55,7,9
56,7,9
57,7,9
58,7,9
59,7,9
60,7,9
61,7,9
62,7,9
63,7,9
64,7,9
65,7,9
66,7,9
67,7,9
68,7,9
69,7,9
70,7,9
71,7,9
72,7,9
73,7,9
74,7,9
75,7,9
76,7,9
77,7,9
78,7,9
79,7,9
80,7,9
81,7,9
82,7,9
83,7,9
84,7,9
85,7,9
86,7,9
87,7,9
88,7,9
89,7,9
90,7,9
91,7,9
92,7,9
93,7,9
94,7,9
95,7,9
96,7,9
97,7,9
98,7,9
99,7,9
100,7,9
101,7,9
102,7,9
103,7,9
104,7,9
105,7,9
106,7,9
107,7,9
108,7,9
109,7,9
110,7,9
111,7,9
112,7,9
113,7,9
114,7,9
115,7,9
116,7,9
117,7,9
118,7,9
119,7,9
120,7,9
121,7,9
122,7,9
123,7,9
124,7,9
125,7,9
126,7,9
127,7,9
128,7,9
129,7,9
130,7,9
131,7,9
132,7,9
133,7,9
134,7,9
135,7,9
136,7,9
137,7,9
138,7,9
139,7,9
140,7,9
141,7,9
142,7,9
143,7,9
144,7,9
145,7,9
146,7,9
147,7,9
148,7,9
149,7,9
150,7,9
151,7,9
152,7,9
153,7,9
154,7,9
155,7,9
156,7,9
157,7,9
158,7,9
159,7,9
160,7,9
161,7,9
162,7,9
163,7,9
164,7,9
165,7,9
166,7,9
167,7,9
168,7,9
169,7,9
170,7,9
171,7,9
172,7,9
173,7,9
174,7,9
175,7,9
176,7,9
177,7,9
178,7,9
179,7,9
180,7,9
181,7,9
182,7,9
183,7,9
184,7,9
185,7,9
186,7,9
187,7,9
188,7,9
189,7,9
190,7,9
191,7,9
192,7,9
193,7,9
194,7,9
195,7,9
196,7,9
197,7,9
198,7,9
199,7,9
200,7,9
201,7,9
202,7,9
203,7,9
204,7,9
205,7,9
206,7,9
207,7,9
208,7,9
209,7,9
210,7,9
211,7,9
212,7,9
213,7,9
214,7,9
215,7,9
216,7,9
217,7,9
218,7,9
219,7,9
220,7,9
221,7,9
222,7,9
223,7,9
224,7,9
225,7,9
226,7,9
227,7,9
228,7,9
229,7,9
230,7,9
231,7,9
232,7,9
233,7,9
234,7,9
235,7,9
236,7,9
237,7,9
238,7,9
239,7,9
240,7,9
241,7,9
242,7,9
243,7,9
244,7,9
245,7,9
246,7,9
247,7,9
248,7,9
249,7,9
250,7,9
251,7,9
252,7,9
253,7,9
254,7,9
255,7,9
256,7,9
257,7,9
258,7,9
259,7,9
260,7,9
261,7,9
262,7,9
263,7,9
264,7,9
265,7,9
266,7,9
267,7,9
268,7,9
269,7,9
270,7,9
271,7,9
272,7,9
273,7,9
274,7,9
275,7,9
276,7,9
277,7,9
278,7,9
279,7,9
280,7,9
281,7,9
282,7,9
283,7,9
284,7,9
285,7,9
286,7,9
287,7,9
288,7,9
289,7,9
290,7,9
291,7,9
292,7,9
293,7,9
294,7,9
295,7,9
296,7,9
297,7,9
298,7,9
299,7,9
300,7,9
301,7,9
302,7,9
303,7,9
304,7,9
305,7,9
306,7,9
307,7,9
308,7,9
309,7,9
310,7,9
311,7,9
312,7,9
313,7,9
314,7,9
315,7,9
316,7,9
317,7,9
318,7,9
319,7,9
320,7,9
321,7,9
322,7,9
323,7,9
324,7,9
325,7,9
326,7,9
327,7,9
328,7,9
329,7,9
330,7,9
331,7,9
332,7,9
333,7,9
334,7,9
335,7,9
336,7,9
337,7,9
338,7,9
339,7,9
340,7,9
341,7,9
342,7,9
343,7,9
344,7,9
345,7,9
346,7,9
347,7,9
348,7,9
349,7,9
350,7,9
351,7,9
352,7,9
353,7,9
354,7,9
355,7,9
356,7,9
357,7,9
358,7,9
359,7,9
360,7,9
361,7,9
362,7,9
363,7,9
364,7,9
365,7,9
366,7,9
367,7,9
368,7,9
369,7,9
370,7,9
371,7,9
372,7,9
373,7,9
374,7,9
375,7,9
376,7,9
377,7,9
378,7,9
379,7,9
380,7,9
381,7,9
382,7,9
383,7,9
384,7,9
385,7,9
386,7,9
387,7,9
388,7,9
389,7,9
390,7,9
391,7,9
392,7,9
393,7,9
394,7,9
395,7,9
396,7,9
397,7,9
398,7,9
399,7,9
400,7,9
401,7,9
402,7,9
403,7,9
404,7,9
405,7,9
406,7,9
407,7,9
408,7,9
409,7,9
410,7,9
411,7,9
412,7,9
413,7,9
414,7,9
415,7,9
416,7,9
417,7,9
418,7,9
419,7,9
420,7,9
421,7,9
422,7,9
423,7,9
424,7,9
425,7,9
426,7,9
427,7,9
428,7,9
429,7,9
430,7,9
431,7,9
432,7,9
433,7,9
434,7,9
435,7,9
436,7,9
437,7,9
438,7,9
439,7,9
440,7,9
441,7,9
442,7,9
443,7,9
444,7,9
445,7,9
446,7,9
447,7,9
448,7,9
449,7,9
450,7,9
451,7,9
452,7,9
453,7,9
454,7,9
455,7,9
456,7,9
457,7,9
458,7,9
459,7,9
460,7,9
461,7,9
462,7,9
463,7,9
464,7,9
465,7,9
466,7,9
467,7,9
468,7,9
469,7,9
470,7,9
471,7,9
472,7,9
473,7,9
474,7,9
475,7,9
476,7,9
477,7,9
478,7,9
479,7,9
480,7,9
481,7,9
482,7,9
483,7,9
484,7,9
485,7,9
486,7,9
487,7,9
