,pref,non_pref
0,2,6
1,1,3
2,7,3
3,1,6
4,5,9
5,7,8
6,8,6
7,4,7
8,5,6
9,7,10
10,5,6
11,4,3
12,10,4
13,10,1
14,8,5
15,3,8
16,7,6
17,8,3
18,10,8
19,3,1
20,6,4
21,5,6
22,6,8
23,10,9
24,1,5
25,10,4
26,7,3
27,10,4
28,8,6
29,6,1
30,7,4
31,1,8
32,7,10
33,5,7
34,9,8
35,4,8
36,4,1
37,9,6
38,10,4
39,8,3
40,2,3
41,6,4
42,2,6
43,4,3
44,6,5
45,1,3
46,5,4
47,9,2
48,10,2
49,10,4
50,2,9
51,7,4
52,2,1
53,6,3
54,9,5
55,8,2
56,8,6
57,5,2
58,3,1
59,5,4
60,7,1
61,3,4
62,7,1
63,7,5
64,5,8
65,2,3
66,7,1
67,1,2
68,4,10
69,10,4
70,3,7
71,2,5
72,7,3
73,7,10
74,1,6
75,2,9
76,7,10
77,2,9
78,9,5
79,5,9
80,2,4
81,2,4
82,7,3
83,1,3
84,6,9
85,2,3
86,8,5
87,3,4
88,7,10
89,5,6
90,4,8
91,8,9
92,3,4
93,10,1
94,7,4
95,2,3
96,10,1
97,2,3
98,3,9
99,7,5
100,5,7
101,6,9
102,4,9
103,9,4
104,1,6
105,10,9
106,7,3
107,7,10
108,2,8
109,10,5
110,7,5
111,9,6
112,7,9
113,3,9
114,5,1
115,3,6
116,2,8
117,7,10
118,2,9
119,5,4
120,4,3
121,6,3
122,2,6
123,7,9
124,3,1
125,3,8
126,4,2
127,7,4
128,3,8
129,7,6
130,6,5
131,7,3
132,10,6
133,7,2
134,6,2
135,3,7
136,1,2
137,2,6
138,2,9
139,5,6
140,5,3
141,5,4
142,1,9
143,9,1
144,5,3
145,4,8
146,5,10
147,2,3
148,2,9
149,6,9
150,2,10
151,2,1
152,2,10
153,2,8
154,7,9
155,5,8
156,3,1
157,10,2
158,7,2
159,1,3
160,10,5
161,9,8
162,5,2
163,9,4
164,4,6
165,9,6
166,6,9
167,3,1
168,5,10
169,8,10
170,7,9
171,1,3
172,8,3
173,7,1
174,7,5
175,10,6
176,3,6
177,7,6
178,5,3
179,10,9
180,4,7
181,2,10
182,10,5
183,5,9
184,6,8
185,7,9
186,10,5
187,9,4
188,6,7
189,7,8
190,10,5
191,2,6
192,7,3
193,3,4
194,4,8
195,2,3
196,4,9
197,7,5
198,1,4
199,4,1
200,3,7
201,3,6
202,5,9
203,8,6
204,7,9
205,3,6
206,1,10
207,7,3
208,7,6
209,1,6
210,5,9
211,2,8
212,3,6
213,10,8
214,10,4
215,7,9
216,2,9
217,6,3
218,10,9
219,4,5
220,2,8
221,2,4
222,8,6
223,10,3
224,3,8
225,7,6
226,7,8
