,pref,non_pref
0,100,5
1,100,5
2,100,5
3,100,5
4,100,5
5,100,5
6,100,5
7,100,5
8,100,5
9,100,5
10,100,5
11,100,5
12,100,5
13,100,5
14,100,5
15,100,5
16,100,5
17,100,5
18,100,5
19,100,5
20,100,5
21,100,5
22,100,5
23,100,5
24,100,5
25,100,5
26,100,5
27,100,5
28,100,5
29,100,5
30,100,5
31,100,5
32,100,5
33,100,5
34,100,5
35,100,5
36,100,5
37,100,5
38,100,5
39,100,5
40,100,5
41,100,5
42,100,5
43,100,5
44,100,5
45,100,5
46,100,5
47,100,5
48,100,5
49,100,5
50,100,5
51,100,5
52,100,5
53,100,5
54,100,5
55,100,5
56,100,5
57,100,5
58,100,5
59,100,5
60,100,5
61,100,5
62,100,5
63,100,5
64,100,5
65,100,5
66,100,5
67,100,5
68,100,5
69,100,5
70,100,5
71,100,5
72,100,5
73,100,5
74,100,5
75,100,5
76,100,5
77,100,5
78,100,5
79,100,5
80,100,5
81,100,5
82,100,5
83,100,5
84,100,5
85,100,5
86,100,5
87,100,5
88,100,5
89,100,5
90,100,5
91,100,5
92,100,5
93,100,5
94,100,5
95,100,5
96,100,5
97,100,5
98,100,5
99,100,5
100,100,5
101,100,5
102,100,5
103,100,5
104,100,5
105,100,5
106,100,5
107,100,5
108,100,5
109,100,5
110,100,5
111,100,5
112,100,5
113,100,5
114,100,5
115,100,5
116,100,5
117,100,5
118,100,5
119,100,5
120,100,5
121,100,5
122,100,5
123,100,5
124,100,5
125,100,5
126,100,5
127,100,5
128,100,5
129,100,5
130,100,5
131,100,5
132,100,5
133,100,5
134,100,5
135,100,5
136,100,5
137,100,5
138,100,5
139,100,5
140,100,5
141,100,5
142,100,5
143,100,5
144,100,5
145,100,5
146,100,5
147,100,5
148,100,5
149,100,5
150,100,5
151,100,5
152,100,5
153,100,5
154,100,5
155,100,5
156,100,5
157,100,5
158,100,5
159,100,5
160,100,5
161,100,5
162,100,5
163,100,5
164,100,5
165,100,5
166,100,5
167,100,5
168,100,5
169,100,5
170,100,5
171,100,5
172,100,5
173,100,5
174,100,5
175,100,5
176,100,5
177,100,5
178,100,5
179,100,5
180,100,5
181,100,5
182,100,5
183,100,5
184,100,5
185,100,5
186,100,5
187,100,5
188,100,5
189,100,5
190,100,5
191,100,5
192,100,5
193,100,5
194,100,5
195,100,5
196,100,5
197,100,5
198,100,5
199,100,5
200,100,5
201,100,5
202,100,5
203,100,5
204,100,5
205,100,5
206,100,5
207,100,5
208,100,5
209,100,5
210,100,5
211,100,5
212,100,5
213,100,5
214,100,5
215,100,5
216,100,5
217,100,5
218,100,5
219,100,5
220,100,5
221,100,5
222,100,5
223,100,5
224,100,5
225,100,5
226,100,5
227,100,5
228,100,5
229,100,5
230,100,5
231,100,5
232,100,5
233,100,5
234,100,5
235,100,5
236,100,5
237,100,5
238,100,5
239,100,5
240,100,5
241,100,5
242,100,5
243,100,5
244,100,5
245,100,5
246,100,5
247,100,5
248,100,5
249,100,5
250,100,5
251,100,5
252,100,5
253,100,5
254,100,5
255,100,5
256,100,5
257,100,5
258,100,5
259,100,5
260,100,5
261,100,5
262,100,5
263,100,5
264,100,5
265,100,5
266,100,5
267,100,5
268,100,5
269,100,5
270,100,5
271,100,5
272,100,5
273,100,5
274,100,5
275,100,5
276,100,5
277,100,5
278,100,5
279,100,5
280,100,5
281,100,5
282,100,5
283,100,5
284,100,5
285,100,5
286,100,5
287,100,5
288,100,5
289,100,5
290,100,5
291,100,5
292,100,5
293,100,5
294,100,5
295,100,5
296,100,5
297,100,5
298,100,5
299,100,5
300,100,5
301,100,5
302,100,5
303,100,5
304,100,5
305,100,5
306,100,5
307,100,5
308,100,5
309,100,5
310,100,5
311,8,7
312,8,7
313,8,7
314,8,7
315,8,7
316,8,7
317,8,7
318,8,7
319,8,7
320,8,7
321,8,7
322,8,7
323,8,7
324,8,7
325,8,7
326,8,7
327,8,7
328,8,7
329,8,7
330,8,7
331,8,7
332,8,7
333,8,7
334,8,7
335,8,7
336,8,7
337,8,7
338,8,7
339,8,7
340,8,7
341,8,7
342,8,7
343,8,7
344,8,7
345,8,7
346,8,7
347,8,7
348,8,7
349,8,7
350,8,7
351,8,7
352,8,7
353,8,7
354,8,7
355,8,7
356,8,7
357,8,7
358,8,7
359,8,7
360,8,7
361,8,7
362,8,7
363,8,7
364,8,7
365,8,7
366,8,7
367,8,7
368,8,7
369,8,7
370,8,7
371,8,7
372,8,7
373,8,7
374,8,7
375,8,7
376,8,7
377,8,7
378,8,7
379,8,7
380,8,7
381,8,7
382,8,7
383,8,7
384,8,7
385,8,7
386,8,7
387,8,7
388,8,7
389,8,7
390,8,7
391,8,7
392,8,7
393,8,7
394,8,7
395,8,7
396,8,7
397,8,7
398,8,7
399,8,7
400,8,7
401,8,7
402,8,7
403,8,7
404,8,7
405,8,7
406,8,7
407,8,7
408,8,7
409,8,7
410,8,7
411,8,7
412,8,7
413,8,7
414,8,7
415,8,7
416,8,7
417,8,7
418,8,7
419,8,7
420,8,7
421,8,7
422,8,7
423,8,7
424,8,7
425,8,7
426,8,7
427,8,7
428,8,7
429,8,7
430,8,7
431,8,7
432,8,7
433,8,7
434,8,7
435,8,7
436,8,7
437,8,7
438,8,7
439,8,7
440,8,7
441,8,7
442,8,7
443,8,7
444,8,7
445,8,7
446,8,7
447,8,7
448,8,7
449,8,7
450,8,7
451,8,7
452,8,7
453,8,7
454,8,7
455,8,7
456,8,7
457,8,7
458,8,7
459,8,7
460,8,7
461,8,7
462,8,7
463,8,7
464,8,7
465,8,7
466,8,7
467,8,7
468,8,7
469,8,7
470,8,7
471,8,7
472,8,7
473,8,7
474,8,7
475,8,7
476,8,7
477,8,7
478,8,7
479,8,7
480,8,7
481,8,7
482,8,7
483,8,7
484,8,7
485,8,7
486,8,7
487,8,7
488,8,7
489,8,7
490,8,7
491,8,7
492,8,7
493,8,7
494,8,7
495,8,7
496,8,7
497,8,7
498,8,7
499,8,7
500,8,7
501,8,7
502,8,7
503,8,7
504,8,7
505,8,7
506,8,7
507,8,7
508,8,7
509,8,7
510,8,7
511,8,7
512,8,7
513,8,7
514,8,7
515,8,7
