,pref,non_pref
0,2,45
1,71,44
2,77,25
3,22,17
4,26,2
5,48,39
6,2,50
7,67,1
8,45,8
9,28,24
10,13,50
11,35,24
12,15,18
13,22,34
14,19,10
15,9,47
16,3,89
17,20,12
18,12,27
19,22,23
20,1,11
21,3,17
22,9,41
23,2,5
24,100,14
25,1,23
26,20,14
27,26,60
28,9,53
29,5,18
30,9,17
31,27,39
32,4,13
33,14,90
34,48,4
35,3,20
36,6,100
37,5,14
38,30,5
39,28,50
40,7,10
41,57,15
42,33,8
43,25,1
44,22,31
45,10,39
46,54,83
47,41,27
48,22,33
49,6,73
50,24,75
51,5,66
52,19,29
53,8,17
54,27,9
55,12,3
56,100,36
57,92,9
58,30,100
59,76,50
60,100,4
61,16,5
62,18,30
63,100,1
64,15,14
65,21,25
66,4,23
67,11,38
68,4,74
69,29,9
70,9,4
71,10,16
72,25,1
73,11,20
74,36,88
75,25,60
76,7,53
77,33,25
78,57,59
79,5,50
80,19,56
81,4,51
82,4,26
83,100,7
84,22,33
85,2,8
86,15,100
87,30,17
88,8,4
89,33,26
90,34,24
91,10,33
92,57,7
93,74,9
94,67,5
95,3,17
96,29,78
97,49,6
98,38,3
99,22,39
100,5,17
101,4,32
102,66,32
103,14,29
104,7,24
105,15,78
106,3,5
107,2,56
108,45,17
109,13,15
110,82,49
111,22,17
112,25,19
113,48,19
114,12,62
115,1,47
116,54,23
117,4,23
118,7,50
119,63,21
120,11,4
121,5,92
122,57,34
123,22,25
124,17,34
125,4,7
126,35,23
127,15,29
128,49,32
129,4,12
130,15,94
131,100,12
132,31,1
133,22,100
134,51,99
135,17,5
136,6,40
137,16,60
138,12,100
139,15,22
140,5,24
141,37,7
142,64,19
143,1,6
144,8,16
145,3,34
146,11,38
147,1,13
148,12,74
149,34,79
150,20,33
151,8,75
152,9,54
153,2,11
154,8,40
155,2,12
156,2,24
157,8,15
158,4,1
159,49,7
160,1,12
161,66,38
162,27,18
163,6,24
164,15,32
165,4,100
166,1,7
167,32,5
168,77,27
169,19,49
170,25,63
171,5,14
172,3,2
173,39,3
174,3,11
175,22,24
176,1,38
177,17,22
178,4,3
179,8,58
180,7,32
181,32,35
182,16,14
183,4,5
184,56,9
185,51,65
186,62,25
187,100,5
188,11,1
189,15,41
190,100,2
191,31,28
192,10,13
193,70,2
194,25,3
195,100,66
196,22,72
197,39,93
198,100,89
199,1,15
200,8,27
201,3,48
202,16,69
203,9,2
204,4,84
205,18,54
206,1,14
207,53,6
208,31,64
209,45,7
210,2,15
211,16,33
212,2,18
213,1,82
214,10,73
215,27,36
216,7,64
217,8,27
218,18,33
219,6,15
220,72,5
221,18,48
222,9,29
223,100,28
224,3,49
225,37,100
226,1,100
227,36,62
228,46,19
229,11,100
230,28,4
231,18,30
232,50,100
233,19,47
234,10,59
235,1,31
236,11,7
237,23,74
238,3,46
239,8,9
240,10,13
241,14,5
242,34,4
243,22,33
244,59,86
245,9,45
246,8,26
247,7,76
248,88,6
249,19,65
250,58,7
251,12,79
252,12,23
253,18,48
254,21,72
255,100,12
256,12,10
257,21,14
258,33,29
259,16,34
260,1,100
261,39,59
262,8,33
263,15,3
264,15,3
265,9,39
266,6,25
267,29,1
268,2,4
269,75,17
270,31,36
271,19,5
272,4,100
