,pref,non_pref
0,1,6
1,1,6
2,1,6
3,1,6
4,1,6
5,1,6
6,1,6
7,1,6
8,1,6
9,1,6
10,1,6
11,1,6
12,1,6
13,1,6
14,1,6
15,1,6
16,1,6
17,1,6
18,1,6
19,1,6
20,1,6
21,1,6
22,1,6
23,1,6
24,1,6
25,1,6
26,1,6
27,1,6
28,1,6
29,1,6
30,1,6
31,1,6
32,1,6
33,1,6
34,1,6
35,1,6
36,1,6
37,1,6
38,1,6
39,1,6
40,1,6
41,1,6
42,1,6
43,1,6
44,1,6
45,1,6
46,1,6
47,1,6
48,1,6
49,1,6
50,1,6
51,1,6
52,1,6
53,1,6
54,1,6
55,1,6
56,1,6
57,1,6
58,1,6
59,1,6
60,1,6
61,1,6
62,1,6
63,1,6
64,1,6
65,1,6
66,1,6
67,1,6
68,1,6
69,1,6
70,1,6
71,1,6
72,1,6
73,1,6
74,1,6
75,1,6
76,1,6
77,1,6
78,1,6
79,1,6
80,1,6
81,1,6
82,1,6
83,1,6
84,1,6
85,1,6
86,1,6
87,1,6
88,1,6
89,1,6
90,1,6
91,1,6
92,1,6
93,1,6
94,1,6
95,1,6
96,1,6
97,1,6
98,1,6
99,1,6
100,1,6
101,1,6
102,1,6
103,1,6
104,1,6
105,1,6
106,1,6
107,1,6
108,1,6
109,1,6
110,1,6
111,1,6
112,1,6
113,1,6
114,1,6
115,1,6
116,1,6
117,1,6
118,1,6
119,1,6
120,1,6
121,1,6
122,1,6
123,1,6
124,1,6
125,1,6
126,1,6
127,1,6
128,1,6
129,1,6
130,1,6
131,1,6
132,1,6
133,1,6
134,1,6
135,1,6
136,1,6
137,1,6
138,1,6
139,1,6
140,1,6
141,1,6
142,1,6
143,1,6
144,1,6
145,1,6
146,1,6
147,1,6
148,1,6
149,1,6
150,1,6
151,1,6
152,1,6
153,1,6
154,1,6
155,1,6
156,1,6
157,1,6
158,1,6
159,1,6
160,1,6
161,1,6
162,1,6
163,1,6
164,1,6
165,1,6
166,1,6
167,1,6
168,1,6
169,1,6
170,1,6
171,1,6
172,1,6
173,1,6
174,1,6
175,1,6
176,1,6
177,1,6
178,1,6
179,1,6
180,1,6
181,1,6
182,1,6
183,1,6
184,1,6
185,1,6
186,1,6
187,1,6
188,1,6
189,1,6
190,1,6
191,1,6
192,1,6
193,1,6
194,1,6
195,1,6
196,1,6
197,1,6
198,1,6
199,1,6
200,1,6
201,1,6
202,1,6
203,1,6
204,1,6
205,1,6
206,1,6
207,1,6
208,1,6
209,1,6
210,1,6
211,1,6
212,1,6
213,1,6
214,1,6
215,1,6
216,1,6
217,1,6
218,1,6
219,1,6
220,1,6
221,1,6
222,1,6
223,1,6
224,1,6
225,1,6
226,1,6
227,1,6
228,1,6
229,1,6
230,1,6
231,1,6
232,1,6
233,1,6
234,1,6
235,1,6
236,1,6
237,1,6
238,1,6
239,1,6
240,1,6
241,1,6
242,1,6
243,1,6
244,1,6
245,1,6
246,1,6
247,1,6
248,1,6
249,1,6
250,1,6
251,1,6
252,1,6
253,1,6
254,1,6
255,1,6
256,1,6
257,1,6
258,1,6
259,1,6
260,1,6
261,1,6
262,1,6
263,1,6
264,1,6
265,1,6
266,1,6
267,1,6
268,1,6
269,1,6
270,1,6
271,1,6
272,1,6
273,1,6
274,1,6
275,1,6
276,1,6
277,1,6
278,1,6
279,1,6
280,1,6
281,1,6
282,1,6
283,1,6
284,1,6
285,1,6
286,1,6
287,1,6
288,1,6
289,1,6
290,1,6
291,1,6
292,1,6
293,1,6
294,1,6
295,1,6
296,1,6
297,1,6
298,1,6
299,1,6
300,1,6
301,1,6
302,1,6
303,1,6
304,1,6
305,1,6
306,1,6
307,1,6
308,1,6
309,1,6
310,1,6
311,1,6
312,1,6
313,1,6
314,1,6
315,1,6
316,1,6
317,1,6
318,1,6
319,1,6
320,1,6
321,1,6
322,1,6
323,1,6
324,1,6
325,1,6
326,1,6
327,1,6
328,1,6
329,1,6
330,1,6
331,1,6
332,1,6
333,1,6
334,1,6
335,1,6
336,1,6
337,1,6
338,1,6
339,1,6
340,1,6
341,1,6
342,1,6
343,1,6
344,1,6
345,1,6
346,1,6
347,1,6
348,1,6
349,1,6
350,1,6
351,1,6
352,1,6
353,1,6
354,1,6
355,1,6
356,1,6
357,1,6
358,1,6
359,1,6
360,1,6
361,1,6
362,1,6
363,1,2
364,1,2
365,1,2
366,1,2
367,1,2
368,1,2
369,1,2
370,1,2
371,1,2
372,1,2
373,1,2
374,1,2
375,1,2
376,1,2
377,1,2
378,1,2
379,1,2
380,1,2
381,1,2
382,1,2
383,1,2
384,1,2
385,1,2
386,1,2
387,1,2
388,1,2
389,1,2
390,1,2
391,1,2
392,1,2
393,1,2
394,1,2
395,1,2
396,1,2
397,1,2
398,1,2
399,1,2
400,1,2
401,1,2
402,1,2
403,1,2
404,1,2
405,1,2
406,1,2
407,1,2
408,1,2
409,1,2
410,1,2
411,1,2
412,1,2
413,1,2
414,1,2
415,1,2
416,1,2
417,1,2
418,1,2
419,1,2
420,1,2
421,1,2
422,1,2
423,1,2
424,1,2
425,1,2
426,1,2
427,1,2
428,1,2
429,1,2
430,1,2
431,1,2
432,1,2
433,1,2
434,1,2
435,1,2
436,1,2
437,1,2
438,1,2
439,1,2
440,1,2
441,1,2
442,1,2
443,1,2
444,1,2
445,1,2
446,1,2
447,1,2
448,1,2
449,1,2
450,1,2
451,1,2
452,1,2
453,1,2
454,1,2
