,pref,non_pref
0,16,10
1,14,60
2,62,3
3,17,24
4,12,53
5,4,30
6,4,66
7,2,68
8,11,22
9,33,66
10,9,7
11,7,17
12,10,62
13,4,6
14,35,32
15,18,43
16,4,48
17,7,10
18,34,59
19,2,31
20,8,61
21,9,18
22,28,33
23,13,44
24,3,17
25,57,13
26,12,26
27,14,3
28,13,15
29,7,8
30,18,60
31,39,19
32,26,44
33,2,10
34,7,9
35,6,33
36,11,54
37,44,25
38,7,39
39,2,9
40,55,66
41,21,15
42,24,4
43,21,49
44,1,15
45,10,27
46,99,54
47,38,28
48,89,28
49,6,5
50,9,18
51,35,6
52,44,50
53,19,41
54,10,25
55,11,29
56,9,51
57,48,6
58,38,60
59,3,31
60,8,25
61,36,54
62,12,21
63,9,21
64,1,25
65,1,8
66,39,43
67,4,25
68,38,4
69,66,50
70,2,17
71,48,64
72,48,26
73,17,49
74,25,39
75,8,19
76,47,50
77,6,20
78,9,5
79,4,26
80,8,63
81,14,47
82,3,35
83,7,9
84,1,60
85,22,28
86,2,49
87,14,21
88,11,8
89,18,40
90,63,13
91,20,24
92,97,7
93,8,62
94,12,88
95,17,18
96,9,48
97,21,25
98,2,33
99,1,31
100,66,19
101,1,62
102,1,26
103,4,36
104,19,25
105,39,63
106,2,24
107,21,8
108,2,32
109,11,21
110,23,59
111,38,39
112,42,91
113,1,10
114,2,13
115,11,37
116,39,11
117,43,14
118,23,84
119,9,81
120,48,8
121,25,29
122,92,29
123,3,8
124,16,59
125,9,36
126,14,2
127,6,43
128,11,14
129,21,40
130,4,11
131,17,70
132,5,25
133,21,24
134,1,65
135,9,18
136,27,52
137,15,30
138,6,81
139,2,24
140,27,52
141,2,16
142,23,29
143,10,50
144,5,18
145,34,22
146,54,99
147,6,57
148,10,12
149,22,24
150,12,28
151,4,34
152,23,13
153,36,47
154,54,18
155,10,37
156,12,47
157,48,11
158,42,34
159,30,9
160,4,35
161,2,34
162,20,26
163,1,9
164,52,35
165,19,18
166,3,20
167,100,11
168,15,36
169,49,25
170,42,31
171,27,97
172,19,50
173,7,15
174,9,21
175,3,51
176,2,12
177,33,36
178,23,37
179,38,65
180,9,24
181,3,6
182,29,17
183,12,2
184,5,60
185,66,41
186,13,15
187,2,5
188,24,3
189,3,4
190,7,30
191,55,92
192,39,50
193,5,18
194,52,41
195,3,95
196,10,22
197,13,66
198,30,22
199,68,69
200,27,52
201,30,17
202,28,6
203,21,17
204,3,41
205,9,58
206,3,16
207,54,76
208,16,28
209,48,19
210,1,25
211,34,49
212,12,27
213,15,17
214,21,4
215,22,24
216,14,23
217,16,48
218,10,13
219,1,5
220,23,34
221,92,40
222,41,51
223,14,30
224,33,78
225,74,4
226,9,15
227,6,13
228,28,3
229,35,80
230,9,12
231,11,20
232,76,26
233,36,59
234,1,42
235,20,1
236,3,67
237,17,19
238,8,49
239,37,3
240,68,18
241,1,18
242,47,56
243,10,45
244,22,81
245,27,16
246,9,27
247,20,15
248,3,44
249,42,70
250,18,22
251,19,31
252,26,36
253,45,7
254,1,83
255,10,52
256,12,66
257,47,32
258,30,5
259,3,20
260,7,77
261,28,97
262,2,24
263,3,76
