n_occurrence,Preferred,Non-Preferred
311,100,5
304,8,7
278,8,100
274,100,12
272,1,5
271,8,3
260,2,3
260,1,7
257,2,5
255,8,5
251,2,100
250,100,7
249,2,7
247,100,3
246,8,1
246,8,12
242,9,5
241,6,5
240,6,100
239,3,5
239,3,7
238,2,17
237,8,4
235,9,3
233,8,2
233,1,100
232,8,11
231,2,12
231,6,7
230,1,17
230,1,3
229,100,1
229,2,10
228,100,17
225,10,5
225,8,6
225,1,12
223,6,12
223,8,14
223,2,1
220,9,7
218,6,16
217,3,12
217,4,5
217,11,7
217,6,3
216,19,5
215,8,10
214,1,10
213,8,17
211,9,4
211,10,7
210,100,16
210,6,17
209,11,5
209,5,7
208,11,12
208,15,5
206,2,16
206,100,4
205,2,11
204,2,14
204,6,1
204,19,100
204,100,10
203,4,3
203,8,13
202,1,4
202,6,4
202,1,14
202,100,24
202,2,6
200,8,16
200,19,3
199,9,100
199,1,16
198,8,9
196,2,18
195,10,3
194,100,6
194,13,12
193,4,17
193,11,17
193,5,17
193,10,12
192,4,12
192,4,7
192,1,18
191,100,14
191,8,18
191,10,17
190,3,4
189,6,14
189,6,18
189,9,17
188,5,12
187,2,23
187,11,3
187,4,100
186,3,1
186,9,12
186,11,100
186,4,16
185,1,6
185,9,1
185,4,6
185,13,5
184,1,24
184,3,16
184,2,13
184,2,4
183,13,7
183,9,16
183,15,7
183,15,100
182,19,1
182,100,23
182,8,24
179,8,23
179,19,7
178,3,100
178,100,29
178,3,17
177,9,6
176,9,10
176,15,3
176,4,1
176,19,6
175,10,16
175,11,10
175,6,10
175,11,1
174,4,14
174,1,9
174,11,16
172,15,1
172,2,24
172,8,22
172,5,4
171,1,2
171,2,21
171,15,17
171,19,12
171,100,30
171,11,14
170,1,13
170,5,16
169,10,1
168,9,18
168,11,4
168,13,100
168,11,23
167,9,2
167,7,12
167,1,23
167,3,14
167,4,2
166,8,20
166,1,11
165,4,10
164,9,14
164,9,11
164,1,28
163,9,23
163,6,2
163,15,16
163,10,6
163,13,3
163,20,5
163,9,24
163,19,2
162,7,5
162,14,17
162,7,17
162,19,11
162,15,12
162,2,9
161,3,23
161,10,18
161,7,16
161,15,4
161,19,16
160,13,1
160,19,10
160,1,21
160,8,27
160,11,24
159,1,29
159,7,4
158,11,18
158,2,29
158,100,18
157,5,24
156,3,10
156,8,21
155,15,14
155,100,25
155,13,17
155,1,30
155,5,23
154,19,4
154,5,14
154,13,16
154,15,6
154,6,11
154,8,25
154,6,23
153,8,15
153,8,30
153,10,4
152,3,28
152,22,5
151,13,4
151,19,17
151,5,18
150,14,5
150,9,13
150,100,28
150,100,21
150,1,15
149,100,2
149,3,24
149,4,13
149,100,13
149,10,14
149,13,24
149,2,20
148,2,28
148,3,18
148,19,14
148,6,9
147,13,18
147,2,26
147,10,100
147,5,6
147,10,28
146,4,23
146,11,6
146,15,18
146,15,10
146,100,11
145,20,17
145,20,16
144,6,25
144,5,28
144,2,30
144,13,14
143,13,6
143,6,24
143,3,30
143,20,7
143,6,21
142,19,9
142,20,1
142,14,12
141,7,14
141,21,7
141,7,3
141,11,9
141,15,2
141,14,3
141,13,10
140,3,6
140,20,100
140,100,20
139,2,25
139,8,29
139,12,5
139,12,17
139,15,23
139,8,28
138,4,24
138,21,5
138,10,11
138,19,23
138,3,11
138,26,5
138,4,9
137,1,25
137,5,1
137,21,12
137,19,13
137,15,28
136,3,25
136,20,4
136,21,17
136,7,1
136,3,29
136,22,12
136,10,24
136,11,21
135,100,15
135,9,29
135,14,7
134,22,17
134,10,23
134,4,18
134,4,11
134,20,3
134,1,22
133,3,21
133,11,30
133,19,18
133,20,12
133,22,7
133,6,20
132,7,10
132,5,30
132,2,27
132,9,15
132,6,13
132,10,30
131,1,26
131,3,15
131,4,25
131,100,9
131,14,1
130,9,30
130,7,6
130,5,29
130,2,22
130,100,22
130,12,24
129,7,18
129,9,22
129,8,26
129,10,13
128,6,22
128,6,28
128,5,10
128,10,2
127,21,3
127,5,3
127,12,7
126,13,11
126,9,20
126,11,13
126,9,26
126,22,1
126,11,2
126,2,15
125,9,28
125,12,16
125,3,2
125,25,7
125,11,28
125,9,21
125,1,8
125,22,3
124,27,7
124,6,29
124,6,15
124,15,21
124,19,8
124,7,23
124,100,35
124,14,4
123,7,24
123,21,6
123,10,25
123,20,10
123,13,9
123,100,33
122,100,27
122,15,11
122,7,28
122,15,24
122,13,23
122,9,25
122,18,12
122,3,13
121,22,10
121,14,6
121,6,30
121,100,8
120,100,26
120,19,21
120,3,20
120,6,8
119,19,20
119,13,25
119,22,16
119,10,21
119,21,4
119,14,24
119,8,34
119,15,13
118,13,20
118,21,23
118,8,19
118,20,18
118,3,9
117,26,7
117,20,23
117,5,100
117,19,24
117,14,16
117,22,100
117,3,26
117,18,5
117,10,27
117,25,5
116,25,12
116,2,35
116,5,21
116,26,4
116,19,22
115,14,100
115,12,3
115,18,17
115,1,33
115,20,6
114,12,4
114,27,12
114,13,2
114,1,35
114,20,14
114,100,32
114,13,30
113,1,27
113,21,14
113,2,34
113,5,25
113,11,20
113,6,33
113,1,20
113,21,100
112,11,22
112,25,3
112,14,23
112,7,13
112,10,33
112,19,15
111,13,21
111,21,16
110,7,100
110,26,1
110,7,21
110,2,32
110,20,28
110,18,7
110,9,27
110,4,33
110,4,8
109,6,27
109,4,21
109,26,17
109,15,25
109,31,17
108,11,29
108,19,26
108,14,10
108,2,8
108,26,3
108,4,27
108,27,5
108,100,38
108,25,17
107,21,10
107,100,40
107,3,33
107,12,23
107,19,30
107,5,13
107,11,15
107,7,29
107,5,15
107,11,25
107,8,33
107,1,40
107,10,20
107,37,1
107,1,34
106,3,27
106,21,18
106,20,24
106,25,1
106,26,12
106,37,3
106,9,35
106,27,1
106,7,2
105,26,100
105,10,22
105,12,28
105,22,14
105,10,29
105,7,30
105,6,26
104,23,17
104,2,33
104,4,20
104,15,20
104,15,22
104,22,24
104,9,33
104,13,15
104,25,100
103,19,25
103,19,27
103,22,6
103,11,26
103,18,4
103,1,32
103,6,35
103,2,31
103,14,18
103,4,28
103,1,39
102,7,11
102,2,38
102,16,17
102,15,26
102,16,7
102,15,32
102,5,9
102,18,16
102,11,27
102,12,1
101,4,30
101,22,4
101,12,18
101,8,31
101,27,100
101,20,2
101,21,1
101,10,15
101,13,29
101,15,8
101,10,9
101,27,18
100,10,8
100,15,27
100,4,29
100,8,35
100,26,10
100,100,34
100,9,8
100,5,11
99,16,5
99,20,9
99,13,28
99,27,17
99,27,3
99,25,24
99,17,7
99,22,23
99,15,9
98,8,40
98,3,40
98,20,30
98,18,23
98,7,20
98,12,6
98,100,31
97,10,26
97,2,39
97,19,29
97,25,23
97,14,28
97,1,38
96,16,12
96,12,100
96,13,22
96,7,25
96,3,8
96,26,6
96,25,10
96,11,33
96,14,30
96,3,42
96,26,18
96,4,15
95,9,31
95,8,42
95,1,42
95,2,42
95,2,40
95,27,16
95,24,17
95,37,100
95,16,4
95,25,18
94,9,40
94,13,27
94,10,31
94,21,28
94,20,11
94,8,32
94,19,28
94,18,3
93,22,30
93,3,22
93,25,14
93,3,35
93,22,11
93,14,13
93,11,32
92,25,4
92,26,16
92,10,32
92,6,38
92,7,22
92,27,4
92,3,31
92,1,31
91,5,2
91,3,32
91,26,14
91,22,18
91,100,39
91,37,5
91,11,35
91,22,28
91,6,32
91,27,23
91,18,100
90,8,38
90,100,42
90,6,31
90,8,41
90,6,39
90,9,34
90,4,22
90,10,34
90,4,31
89,20,13
89,14,2
89,6,40
89,21,24
89,14,29
89,11,31
89,5,20
89,20,21
89,4,35
88,9,38
88,18,24
88,8,51
88,5,8
88,27,24
88,8,36
88,24,7
88,23,12
88,10,35
88,13,35
88,21,29
88,6,34
88,16,3
88,31,12
87,15,29
87,15,42
87,22,13
87,16,18
87,10,40
87,8,39
87,26,22
87,22,29
87,13,26
87,25,29
87,26,29
87,5,22
87,27,6
87,18,14
87,37,16
86,2,19
86,17,5
86,12,30
86,6,42
86,5,35
86,2,51
85,4,19
85,9,32
85,7,38
85,7,15
85,3,38
85,22,2
85,4,34
85,3,34
85,21,15
85,26,13
85,13,8
85,13,32
84,23,4
84,5,27
84,9,36
84,22,33
84,5,33
84,2,49
84,37,12
84,21,30
84,16,23
84,3,39
84,4,26
83,1,36
83,19,33
83,7,33
83,21,11
83,12,33
83,18,6
83,1,41
82,20,25
82,15,30
82,10,42
82,11,40
82,1,51
82,31,5
82,26,24
82,20,22
82,14,21
82,21,25
82,17,3
82,26,21
82,37,14
82,25,16
82,17,12
82,7,9
81,31,24
81,5,39
81,19,34
81,100,49
81,13,31
81,23,7
81,14,35
81,11,42
81,6,36
81,27,14
81,8,37
81,18,1
80,15,31
80,25,6
80,9,19
80,7,35
80,9,42
80,31,16
80,100,19
80,15,33
80,27,10
80,18,10
80,5,42
79,15,34
79,12,14
79,1,50
79,23,5
79,24,4
79,18,29
79,100,50
79,17,4
79,10,38
79,5,38
79,7,8
78,21,2
78,15,35
78,21,9
78,4,40
78,20,29
78,19,31
78,13,33
78,5,31
78,17,18
78,11,39
78,100,51
78,16,14
78,26,28
77,34,7
77,41,100
77,1,48
77,9,51
77,14,9
77,100,36
77,22,25
77,34,5
77,4,39
77,27,21
77,24,16
77,26,23
77,27,29
77,5,51
77,5,34
76,31,1
76,27,25
76,1,49
76,28,7
76,13,42
76,25,28
76,5,40
76,16,1
76,2,48
76,12,29
76,27,2
76,3,51
76,6,19
76,7,27
76,20,34
75,31,7
75,21,35
75,23,3
75,37,17
75,5,32
75,23,16
75,24,5
75,8,46
75,37,7
75,7,26
75,11,38
75,14,20
75,30,4
75,19,42
74,31,6
74,22,21
74,37,2
74,12,11
74,27,30
74,17,16
74,27,11
74,41,7
74,31,10
74,10,39
74,31,18
74,10,49
74,19,35
74,25,11
74,16,24
74,1,19
73,27,28
73,20,33
73,21,13
73,37,4
73,30,12
73,16,6
73,2,50
73,14,22
73,5,26
73,41,5
73,24,23
73,14,11
73,19,32
73,5,49
72,3,44
72,12,13
72,31,14
72,3,49
72,14,25
72,12,25
72,12,21
72,30,17
72,6,49
72,7,40
72,41,3
72,25,13
72,14,33
72,27,13
72,21,33
72,47,12
72,41,4
71,9,43
71,31,4
71,20,8
71,28,17
71,18,28
71,36,5
71,37,23
71,25,9
71,8,44
71,29,16
71,14,42
71,100,48
71,41,12
71,20,26
71,37,18
71,100,52
71,36,16
71,1,44
71,2,37
71,18,30
70,25,2
70,11,34
70,4,38
70,4,36
70,10,51
70,5,36
70,12,38
70,21,26
70,6,41
70,19,39
70,29,4
70,30,16
70,7,39
70,14,40
70,11,49
70,1,37
70,31,23
69,2,36
69,12,26
69,6,43
69,100,37
69,3,50
69,25,21
69,1,46
69,15,36
69,22,9
69,13,40
69,26,9
69,26,20
68,25,30
68,15,38
68,100,41
68,22,35
68,2,46
68,12,9
68,37,6
68,3,36
68,41,6
68,11,46
68,13,38
68,15,19
68,23,18
68,14,31
