n_occurrence,Preferred,Non-Preferred
363,1,6
335,1,2
329,1,4
317,3,4
313,1,13
313,2,6
307,4,6
297,1,7
292,1,5
290,1,8
289,2,8
287,3,6
284,3,11
282,2,11
281,1,11
281,3,8
277,2,4
277,3,7
276,9,13
275,2,5
271,4,8
270,1,3
269,3,5
268,2,7
264,3,12
261,5,7
260,2,13
259,2,18
258,2,15
257,7,8
255,4,13
255,9,12
255,7,17
255,4,5
254,9,11
254,9,14
253,7,13
252,2,3
252,3,18
251,5,6
250,6,8
247,3,13
246,1,9
246,9,15
244,1,18
244,2,10
243,3,14
242,3,15
241,1,10
241,3,10
238,9,10
238,10,11
238,3,9
237,4,11
237,7,11
234,1,12
233,10,12
233,2,14
232,12,13
230,2,12
230,1,17
230,6,13
230,1,15
229,2,19
226,6,7
225,5,18
225,7,15
225,9,18
225,3,17
224,11,13
222,2,16
221,1,16
221,11,12
221,2,17
221,6,18
221,5,13
220,1,14
220,1,25
219,2,9
219,11,18
217,7,18
217,5,17
216,4,18
216,10,13
215,9,17
215,9,16
214,4,7
213,3,22
213,2,25
213,4,15
212,10,18
212,12,18
212,3,19
211,7,19
211,7,9
210,4,10
209,4,17
208,7,10
208,9,20
207,9,19
207,5,15
207,10,14
206,1,26
205,10,15
205,7,12
205,5,8
205,3,16
204,6,17
203,3,21
201,8,13
201,8,17
201,1,24
201,12,17
200,6,15
200,10,17
200,11,17
200,5,11
199,8,11
199,4,12
199,2,22
198,5,14
198,2,24
198,1,22
197,3,24
197,4,9
196,9,8
196,4,16
196,15,18
196,11,15
196,2,26
195,8,18
195,7,14
194,9,25
194,5,10
194,6,11
193,10,19
192,9,21
192,1,21
191,6,19
191,1,31
191,5,9
190,11,19
190,1,23
190,3,25
190,12,15
189,1,19
189,12,14
189,9,23
188,8,15
187,8,9
186,3,20
186,9,22
186,10,16
185,1,30
185,12,24
184,8,12
184,4,14
184,4,19
183,11,14
183,7,16
182,7,22
182,16,18
182,10,24
182,9,6
181,6,25
179,4,24
179,9,28
178,12,19
178,9,24
178,6,10
177,7,25
176,2,29
176,13,18
176,13,25
176,16,17
175,7,24
175,6,12
175,5,12
175,6,24
174,3,30
174,7,21
174,4,22
172,2,21
172,2,30
172,4,26
172,14,25
172,14,17
171,12,22
171,4,21
171,12,25
171,10,25
171,10,21
171,9,26
170,4,25
170,2,31
170,9,4
170,8,14
169,1,20
169,1,27
169,3,26
169,6,14
168,14,18
168,6,16
167,8,19
167,2,27
167,8,22
167,8,25
167,14,15
166,12,21
166,10,6
166,5,19
166,7,26
166,10,22
166,8,16
165,3,29
165,3,28
165,4,29
164,8,10
164,11,29
164,6,22
164,5,24
163,3,27
163,9,31
163,16,19
162,1,29
162,7,6
162,16,22
161,6,9
160,6,31
160,12,16
159,11,6
159,5,25
159,1,28
159,11,22
159,2,23
158,15,17
158,14,19
158,3,23
157,4,31
157,3,31
156,11,21
156,7,23
156,11,16
156,9,5
156,14,16
155,11,24
155,6,29
155,10,5
154,14,21
153,9,1
153,13,19
153,13,17
153,11,25
153,2,20
152,7,20
152,11,23
152,9,2
152,10,26
151,11,26
150,4,28
149,20,6
149,12,31
149,15,25
148,10,23
148,10,27
148,5,16
148,9,27
148,10,20
148,5,26
148,4,27
147,16,6
147,2,28
147,8,29
146,8,5
146,16,24
145,10,30
145,11,28
144,13,15
144,11,8
144,9,29
144,20,24
144,14,22
144,7,29
144,9,30
144,7,28
144,14,24
144,8,24
143,14,26
143,20,21
